from,to,type
circles,octopess,1
octopess,abandons,1
abandons,submerged,1
submerged,sadly,4
sadly,traverses,1
traverses,curve,1
curve,tightened,1
tightened,ash-grey,1
ash-grey,heron,1
heron,space,1
space,hands,1
hands,dislodge,1
dislodge,absent,1
absent,timbre,1
timbre,ardent,1
ardent,saffron,1
saffron,tender,1
tender,redoubles,1
redoubles,extremes,1
extremes,summoned,2
summoned,sleeping,1
sleeping,agitated,1
agitated,wrinkle,1
wrinkle,wav,1
wav,beating,1
beating,slept,1
slept,chess,1
chess,untombed,1
untombed,tiara,1
tiara,unsepulchred,2
unsepulchred,soft,1
soft,wood,1
wood,frigid,1
frigid,beak,1
beak,boiling,1
boiling,swan,1
swan,relucent,2
relucent,pier,1
pier,false,2
false,diamonds,1
diamonds,changeful,2
changeful,feather,1
feather,terse,2
terse,atlas,1
atlas,shrieked,2
shrieked,greens,1
greens,wav,2
wav,play,1
play,soft,1
soft,death,1
death,lightning,1
lightning,veins,1
veins,drowned,4
drowned,ribbons,1
ribbons,mute,1
mute,lip,1
lip,offer,1
offer,oriental,2
oriental,baskets,1
baskets,sift,1
sift,water,1
water,moon,1
moon,most,2
most,slept,1
slept,rush,1
rush,most,1
most,buried,1
buried,feather,1
feather,scream,1
scream,masked,1
masked,whistle,1
whistle,between,1
between,foreheads,1
foreheads,hooks,1
hooks,stretched,2
stretched,marble,1
marble,river,1
river,recurves,1
recurves,traps,1
traps,destroy,1
destroy,lip,1
lip,blind,1
blind,NEG,1
NEG,oscillate,1
oscillate,spirals,2
spirals,heroic,1
heroic,tenors,1
tenors,fall,1
fall,breast,1
breast,dove,1
dove,agitate,1
agitate,gleaming,1
gleaming,arrows,1
arrows,cloak,1
cloak,night,1
night,arrow,4
arrow,protrudes,1
protrudes,back,1
back,absent,1
absent,lightning,2
lightning,violet,1
violet,IF,1
IF,pin,1
pin,snow,1
snow,stubborn,1
stubborn,face,1
face,moistened,2
moistened,earth,1
earth,ascending,1
ascending,face,1
face,closed,1
closed,arrow,1
arrow,dusts,2
dusts,moon,1
moon,moistened,1
moistened,earth,1
earth,profile,1
profile,broken,1
broken,cloud,1
cloud,mirror,1
mirror,fresh,2
fresh,valves,1
valves,night,1
night,irate,1
irate,limit,1
limit,shells,1
shells,prison,1
prison,thirst,1
thirst,protrude,1
protrude,arms,1
arms,NEG,1
NEG,asking,1
asking,corals,1
corals,stripes,1
stripes,bee,1
bee,confused,1
confused,secrets,1
secrets,awake,1
awake,remembering,1
remembering,curved,1
curved,arms,1
arms,encrusting,1
encrusting,forehead,1
forehead,yesterday,4
yesterday,questions,1
questions,frolic,1
frolic,close,1
close,impulse,1
impulse,powdery,1
powdery,fruit,1
fruit,islands,1
islands,camp,1
camp,treasures,1
treasures,rage,1
rage,scatters,1
scatters,flatters,1
flatters,reprimands,1
reprimands,doncel,2
doncel,work,1
work,walnuts,1
walnuts,spurt,1
spurt,forehead,1
forehead,sound,1
sound,flame,1
flame,makes,1
makes,roots,1
roots,mansion,1
mansion,buried,1
buried,screams,1
screams,IF,2
IF,moves,1
moves,uncurving,1
uncurving,bee,1
bee,mirror,1
mirror,destroy,1
destroy,mute,1
mute,river,1
river,IF,2
IF,sinks,1
sinks,half-siren,1
half-siren,fire,1
fire,loose,1
loose,threads,1
threads,plough,1
plough,winter,1
winter,weave,1
weave,white,1
white,body,1
body,questions,1
questions,pulvereous,1
pulvereous,statue,1
statue,body,4
body,sound,1
sound,swarm,1
swarm,mute,1
mute,pines,1
pines,clamor,1
clamor,waking,1
waking,breaking,1
breaking,wav,1
wav,smooth,1
smooth,blazes,1
blazes,sessile,1
sessile,flight,1
flight,guided,1
guided,dove,1
dove,shrieks,1
shrieks,eyes,1
eyes,carnation,1
carnation,forehead,1
forehead,mirror,1
mirror,wav,1
wav,NEG,1
NEG,memory,1
memory,come,2
come,reuniting,1
reuniting,eyes,1
eyes,spinning,1
spinning,carnation,1
carnation,NEG,1
NEG,forever,1
forever,burnt,1
burnt,abyss,1
abyss,alquitared,1
alquitared,snow,1
snow,groaning,1
groaning,bolstered,1
bolstered,sky,1
sky,steeds,2
steeds,IF,1
IF,snow,1
snow,IF,1
IF,pays,1
pays,guided,1
guided,gaze,1
gaze,distilled,1
distilled,plea,1
plea,more,1
more,firm,1
firm,recurve,1
recurve,first,1
first,muteness,1
muteness,already,1
already,sky,1
sky,snow,4
snow,sistrums,1
sistrums,NEG,1
NEG,penetrate,1
penetrate,argues,1
argues,leaf,1
leaf,uncurving,1
uncurving,destroy,1
destroy,glass,1
glass,ear,1
ear,white,1
white,nests,1
nests,center,1
center,now,1
now,burn,1
burn,tepid,1
tepid,corals,1
corals,escaped,1
escaped,doncel,1
doncel,deer,1
deer,tedium,1
tedium,rosed,1
rosed,forests,1
forests,transform,2
transform,IF,1
IF,coral,1
coral,doncel,1
doncel,curl,1
curl,voices,1
voices,snow,1
snow,paths,1
paths,sonorous,1
sonorous,body,1
body,rocks,1
rocks,pines,1
pines,slim,1
slim,nodding,1
nodding,forceful,2
forceful,pine,1
pine,now,1
now,column,1
column,smoke,1
smoke,so,1
so,water,1
water,canary,1
canary,needle,1
needle,jet,1
jet,uncurled,1
uncurled,wind,1
wind,Narcissus,4
Narcissus,Narcissus,1
Narcissus,antlers,2
antlers,murdered,1
murdered,deer,1
deer,fish,1
fish,flames,1
flames,flutes,1
flutes,nibbled,1
nibbled,fingers,1
fingers,Narcissus,2
Narcissus,Narcissus,1
Narcissus,hairs,2
hairs,guiding,1
guiding,florentines,1
florentines,crawl,1
crawl,profiles,1
profiles,lip,1
lip,routes,1
routes,sad,1
sad,flames,1
flames,wav,1
wav,biting,1
biting,hips,1
hips,fish,2
fish,cold,1
cold,green,1
green,air,1
air,mirror,1
mirror,stripes,1
stripes,posy,1
posy,doves,1
doves,hidden,1
hidden,death,1
death,throat,1
throat,daughter,1
daughter,arrow,1
arrow,swans,1
swans,heron,2
heron,digresses,1
digresses,shell,1
shell,wave,1
wave,cloud,1
cloud,carelessness,1
carelessness,spray,1
spray,hung,1
hung,eyes,1
eyes,marmoreal,1
marmoreal,drop,1
drop,sweet,1
sweet,plinth,1
plinth,NEG,1
NEG,offering,1
offering,shriek,4
shriek,fruited,1
fruited,snow,1
snow,secret,1
secret,geranium,1
geranium,transform,1
transform,white,2
white,silk,1
silk,ascending,1
ascending,spilled,1
spilled,lip,1
lip,opens,1
opens,amnesia,1
amnesia,islands,1
islands,sword,1
sword,eyelashes,1
eyelashes,come,1
come,give way,1
give way,sleep,1
sleep,yield,1
yield,mirror,1
mirror,littoral,1
littoral,impure,1
impure,earth,1
earth,stone,1
stone,moist,2
moist,lip,1
lip,NEG,1
NEG,shell,1
shell,looks,1
looks,uncurving,1
uncurving,thread,1
thread,slaves,1
slaves,profile,1
profile,dry,1
dry,velamen,1
velamen,air,1
air,bites,1
bites,litmus,1
litmus,changes,1
changes,sound,1
sound,golden,1
golden,litmus,1
litmus,salty,1
salty,lime,1
lime,looks,1
looks,golden,1
golden,mirror,1
mirror,death,1
death,shell,1
shell,sound,1
sound,IF,2
IF,crosses,1
crosses,mirror,1
mirror,water,1
water,agitate,1
agitate,ear,1
ear,boil,1
boil,IF,2
IF,sits,1
sits,fringe,1
fringe,forehead,1
forehead,centurion,1
centurion,pulses,1
pulses,side,1
side,IF,2
IF,declaims,1
declaims,letters,1
letters,dream,1
dream,penetrate,1
penetrate,gaze,1
gaze,wrinkle,1
wrinkle,wave,2
wave,air,1
air,wraps,1
wraps,albino,1
albino,secret,1
secret,harpooned,1
harpooned,skin,1
skin,colored,1
colored,mirror,1
mirror,shadow,1
shadow,memory,1
memory,minute,1
minute,silence,1
silence,now,2
now,pierces,1
pierces,white,1
white,uncurving,1
uncurving,endless,1
endless,dry,1
dry,flames,1
flames,drizzled,1
drizzled,leaf,1
leaf,stream,2
stream,uncreated,1
uncreated,bee,1
bee,bite,1
bite,wake,1
wake,ask,1
ask,flank,1
flank,mirror,2
mirror,verified,1
verified,speechless,1
speechless,Narcissus,1
Narcissus,high,1
high,tide,1
tide,fled,1
fled,wingless,1
